UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,UMAP_26,UMAP_27,UMAP_28,UMAP_29,UMAP_30,UMAP_31,UMAP_32,UMAP_33,UMAP_34,UMAP_35,UMAP_36,UMAP_37,UMAP_38,UMAP_39,UMAP_40,UMAP_41,UMAP_42,UMAP_43,UMAP_44,UMAP_45,UMAP_46,UMAP_47,UMAP_48,UMAP_49,UMAP_50
7.7608523,7.3144593,5.4378886,5.2279043,7.8445387,2.1163576,3.8970246,7.720494,5.96604,7.040962,4.235831,9.053719,5.190686,5.7325497,7.4771314,5.4659343,5.9872293,6.2573085,7.614817,4.724379,2.7468069,4.658751,4.1502705,3.8362684,6.2448487,6.672678,6.2931404,5.9606566,4.1355753,5.2088284,6.4181166,6.5647435,4.531443,5.031912,1.3654234,4.618897,7.5372295,5.196562,4.6935663,4.844978,4.1503115,3.453412,5.712335,2.981744,5.8982067,1.7625686,7.284232,4.3140316,4.022072,5.1938252
7.609635,6.191987,4.964994,6.0594745,8.2846155,1.9373914,3.7863867,7.9576435,5.9901805,7.398794,3.587306,9.090598,5.010769,6.000699,7.3477798,5.803286,5.7692595,5.878423,8.349061,4.6374,3.163158,4.9803734,4.462944,3.5846808,6.124272,6.473733,6.8439035,5.6626544,4.233238,5.112028,6.4215803,6.6842766,4.099908,4.784704,1.424849,4.724446,7.7313433,5.014012,4.793209,4.6861634,4.32984,3.389832,6.475598,3.2226279,6.432828,1.5216457,6.9815745,4.8903737,3.4788244,5.266327
8.067635,7.0843964,5.531535,5.3452168,7.732942,1.8520459,4.2057433,7.9298563,5.936,7.554997,3.929911,8.835818,5.2348213,6.0104046,7.316936,5.6886935,5.5811553,6.1941657,8.287322,4.599842,3.0155458,4.752007,4.387202,3.4455945,6.659684,6.560744,6.570738,5.9501204,3.6333854,5.1444635,6.393139,6.7290936,4.3858204,4.726909,1.3299153,4.3373456,7.7356963,5.258222,4.5132303,5.135118,4.299149,3.3717432,5.8138046,3.0574815,6.191504,1.664025,7.4519243,4.936331,3.9141042,4.8949456
7.4757032,6.3549504,5.3969064,6.0031424,7.868716,2.034219,3.7949908,7.9519444,6.4397936,7.5752835,3.7104704,8.591113,4.8129015,6.2440286,7.31861,6.009354,5.370682,5.7102065,8.219575,4.7599564,3.2514465,5.153116,4.59334,3.1568952,6.1792407,6.219882,6.987637,5.452125,4.2036295,5.258274,6.335201,6.5853076,4.0917454,4.5817513,1.7612085,4.344442,7.672125,5.1814246,4.7703385,4.595322,4.381486,3.5322144,6.2959423,3.0191631,6.4663205,1.6017181,7.2805934,4.8913856,3.5892692,5.217599
7.717617,6.61793,5.05464,5.803704,7.9766345,1.7152785,4.065219,8.030589,5.784952,7.341378,3.9009743,9.369751,5.3449574,6.0589385,7.1815033,5.8332458,5.6233425,6.2463875,8.352596,4.302274,2.9376147,4.86378,4.447272,3.5943696,6.4743314,6.456848,6.6180983,5.885762,3.917731,5.2481375,6.3790793,6.673542,4.1630836,4.7630644,1.2665595,4.710183,7.672231,5.0874014,4.6447935,5.092692,4.195795,3.462584,6.0956674,3.033093,6.3306475,1.4686123,7.244929,4.8325844,3.5353186,5.101177
7.8689737,7.284262,5.5726233,5.4281898,7.616086,1.5900072,4.2284184,7.7546635,5.787283,7.384402,3.9001276,8.834972,5.499619,5.96555,7.3617034,5.5469255,5.665187,6.3025436,8.158704,4.5208287,3.0965233,4.785721,4.3728533,3.5652306,6.7978888,6.69509,6.3595247,5.8593507,3.6313014,4.974384,6.261191,6.881291,4.5237956,4.7956767,1.3828175,4.3501453,7.618322,5.166867,4.447715,5.418054,4.2174897,3.4345236,5.6441526,2.9581008,5.969896,1.6696582,7.577558,4.76669,4.0337,4.809084
7.846768,7.233115,5.5437984,5.225,7.8462453,2.1264868,3.983201,7.8699236,6.0413394,7.3381333,4.1368947,8.952453,5.0444875,5.788293,7.4098897,5.6115527,5.844586,6.255963,7.847963,4.65663,2.7336526,4.651453,4.2034535,3.740512,6.3279834,6.531599,6.5006127,6.0177298,4.0489674,5.299249,6.5062304,6.56158,4.428452,4.8557696,1.3522205,4.5661077,7.672721,5.2747107,4.6757436,4.746752,4.1939125,3.3550527,5.811255,3.0549488,6.122716,1.7029369,7.293618,4.5661254,3.90325,5.1937103
7.2770085,6.0713954,5.1007805,6.3011403,8.131066,1.9201305,3.7579012,8.03642,6.2340355,7.5430927,3.5927596,8.974004,4.892324,6.1813726,7.2313886,6.0773005,5.479186,5.852929,8.351996,4.5218163,3.1563976,5.1328225,4.6001725,3.3979874,6.0870585,6.167265,7.070479,5.475175,4.365744,5.310128,6.386145,6.621619,3.9500294,4.567567,1.6579591,4.6661386,7.687676,5.0557885,4.816174,4.538677,4.286273,3.4551716,6.538216,3.132648,6.62665,1.445007,7.102811,4.938597,3.2867293,5.357349
7.8154263,6.2388334,5.029779,5.819523,8.405384,2.09542,3.6813607,7.9429255,6.0516934,7.4079328,3.4754813,8.954338,4.800271,5.838984,7.535781,5.606125,5.979753,5.678732,8.344204,4.8827777,3.2551734,4.9585056,4.3367734,3.6429532,6.0558343,6.676176,6.7349606,5.7533903,4.269705,4.9548774,6.5357876,6.6554575,4.176247,4.8977246,1.3181189,4.688656,7.8888807,5.0609903,4.9192076,4.5939245,4.4851084,3.3369477,6.5169287,3.2893178,6.3481073,1.6213728,6.823766,4.8425817,3.6524377,5.271176
7.540103,6.000337,5.0652003,6.218541,8.237077,1.9932345,3.7345397,7.932832,6.2316704,7.52559,3.4447527,8.7765045,4.8641906,6.175065,7.3647537,5.9107003,5.5684977,5.6200223,8.426502,4.8185005,3.4015763,5.1528225,4.613699,3.2975557,6.0683556,6.387869,7.015172,5.430559,4.2210913,5.0608015,6.344704,6.7031784,4.0514655,4.6772184,1.6351377,4.504273,7.7332807,5.018117,4.794287,4.611915,4.442127,3.4381404,6.582111,3.2345486,6.4977818,1.5702057,7.035464,5.015947,3.4990892,5.207732
7.7408895,6.086973,5.060346,6.046136,8.221339,1.9810965,3.8178847,8.051447,6.1271663,7.645195,3.5326514,8.867245,4.8114343,6.0451164,7.3254733,5.9091067,5.6662974,5.82394,8.486487,4.6327443,3.1510832,4.9803023,4.4621563,3.4622743,6.180958,6.342244,7.0575747,5.7000294,4.229151,5.186697,6.481992,6.6521897,4.03273,4.6747394,1.4620496,4.630353,7.8124633,5.127354,4.7840595,4.506552,4.3781815,3.3537428,6.547848,3.2098296,6.625123,1.4966695,6.9898434,5.093376,3.418948,5.327106
8.262415,7.043476,5.500524,5.1763806,7.8196588,2.052124,3.9748828,7.8184643,6.0703096,7.421811,3.917196,8.598935,4.963613,5.820416,7.562024,5.4420824,5.898194,5.946655,8.088403,4.8874288,3.0660632,4.7500634,4.180724,3.5209768,6.4784513,6.763566,6.47745,6.0066576,3.8827243,4.9815784,6.4602737,6.646297,4.496579,4.962384,1.3009434,4.3215055,7.7732124,5.317864,4.671029,4.882057,4.425881,3.4231389,5.854283,3.0029173,6.0626082,1.7909882,7.249259,4.761,4.1225166,5.0498805
8.086794,7.3061986,5.3317223,5.2642937,7.7053475,1.9325753,4.1846766,7.726538,5.7277503,7.1660643,4.2838383,9.028232,5.490699,5.86547,7.3258553,5.5318875,5.834071,6.478115,7.821862,4.571856,2.7089736,4.5230646,4.2166543,3.724794,6.549058,6.6436768,6.3991976,6.0371103,3.7632957,5.209529,6.3125896,6.697925,4.5544624,4.9753375,1.3075197,4.504627,7.453023,5.219562,4.403476,5.0684786,4.0773516,3.4290686,5.591435,2.9562075,5.968375,1.7146469,7.4733686,4.644773,4.009417,5.0149794
7.816041,7.096669,5.488409,5.5936875,7.7166014,1.5484633,4.234279,7.854632,5.755851,7.5139213,3.8266923,8.933922,5.437198,5.9585967,7.299556,5.642344,5.6693263,6.381277,8.299743,4.3665595,3.0252235,4.7684984,4.372877,3.627853,6.781737,6.593009,6.5188394,5.8974576,3.7100534,5.043543,6.322374,6.887373,4.41062,4.7134137,1.3443118,4.476265,7.6615195,5.166731,4.461825,5.2952065,4.183686,3.377254,5.7966957,3.00548,6.167033,1.5632963,7.5024247,4.919182,3.8359559,4.909715
8.25132,7.234411,5.6956215,5.147138,7.476004,2.1098816,4.031928,7.7317934,6.286952,7.4218493,4.2494035,8.390213,4.976506,5.983558,7.4757824,5.5883064,5.676496,6.049044,7.818008,4.8308363,2.8905451,4.721964,4.2110205,3.3103397,6.5198355,6.549656,6.580594,5.969454,3.8917396,5.176635,6.3445153,6.5804877,4.551881,4.90426,1.5169854,4.142431,7.5556326,5.434415,4.531599,4.756036,4.301436,3.5510273,5.6230316,2.7911499,6.0487795,1.8100203,7.511831,4.7113667,4.1955585,5.096494
7.7666993,6.505535,4.83124,6.011533,8.131445,1.655393,4.060303,7.797624,5.544105,7.1934767,3.895864,9.408823,5.5036845,5.910366,7.228876,5.6622624,5.919743,6.455594,8.204177,4.2884245,2.844562,4.661981,4.3247046,3.8889887,6.403109,6.574968,6.674684,5.8998194,4.0483217,5.1203246,6.282388,6.8462644,4.300605,4.9411435,1.2635406,4.8685875,7.457424,4.980196,4.4733467,4.968137,4.0359893,3.3935893,6.160577,3.1119053,6.2725534,1.4677368,7.1598253,4.8775315,3.5440853,5.2053037
7.5904455,7.143137,5.4725213,5.613982,7.7781835,1.65749,4.1880965,7.7891397,5.8114595,7.37184,3.844783,8.987982,5.4985275,6.0186033,7.2857285,5.66874,5.6112647,6.3125386,8.143411,4.496994,3.0611897,4.820522,4.4799113,3.6128354,6.627313,6.5847416,6.4617343,5.7483053,3.72027,5.0680966,6.2538543,6.8722253,4.4362383,4.71556,1.4496207,4.4564066,7.6078153,5.07294,4.467659,5.328318,4.1684203,3.3987584,5.7829156,3.063365,6.0587983,1.6349128,7.5196457,4.758973,3.8770256,4.85586
8.159714,7.2634683,5.712018,5.1798987,7.5018287,2.0526476,4.0487394,7.7526846,6.2316427,7.437877,4.189915,8.453225,5.021137,5.961955,7.4618516,5.5934134,5.6749964,6.0911484,7.8586006,4.786919,2.9044747,4.7299867,4.2283363,3.3680854,6.542936,6.5495934,6.5588465,5.9518538,3.8818717,5.1722345,6.3573656,6.610667,4.5350175,4.864641,1.5037198,4.1894083,7.582656,5.402514,4.5418744,4.819259,4.2851853,3.514617,5.6342263,2.829832,6.0550537,1.7850447,7.515571,4.708214,4.1511846,5.0736227
