UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,UMAP_26,UMAP_27,UMAP_28,UMAP_29,UMAP_30,UMAP_31,UMAP_32,UMAP_33,UMAP_34,UMAP_35,UMAP_36,UMAP_37,UMAP_38,UMAP_39,UMAP_40,UMAP_41,UMAP_42,UMAP_43,UMAP_44,UMAP_45,UMAP_46,UMAP_47,UMAP_48,UMAP_49,UMAP_50,UMAP_51,UMAP_52,UMAP_53,UMAP_54,UMAP_55,UMAP_56,UMAP_57,UMAP_58,UMAP_59,UMAP_60,UMAP_61,UMAP_62,UMAP_63,UMAP_64,UMAP_65,UMAP_66,UMAP_67,UMAP_68,UMAP_69,UMAP_70,UMAP_71,UMAP_72,UMAP_73,UMAP_74,UMAP_75,UMAP_76,UMAP_77,UMAP_78,UMAP_79,UMAP_80,UMAP_81,UMAP_82,UMAP_83,UMAP_84,UMAP_85,UMAP_86,UMAP_87,UMAP_88,UMAP_89,UMAP_90,UMAP_91,UMAP_92,UMAP_93,UMAP_94,UMAP_95,UMAP_96,UMAP_97,UMAP_98,UMAP_99,UMAP_100
7.50427,6.5417027,7.6640763,5.7625766,4.6554604,8.761482,6.7937374,5.9026427,4.635209,4.2038593,4.071529,5.21308,4.4484234,9.030066,5.6003656,5.3538203,5.1215034,5.9208636,5.9235477,5.6501102,3.897547,4.1894593,3.54936,5.84937,6.6883492,4.7114797,4.0525517,4.343286,4.225755,4.580412,4.7024446,4.117205,5.963053,5.2536583,4.156843,5.8660297,5.236491,3.2998633,5.1579075,4.8696613,5.2599077,6.3322334,6.0667405,3.641849,6.6034393,4.641085,6.134663,4.841656,5.82108,4.8622446,5.88047,3.781133,5.7282887,3.0542834,6.115284,5.190766,5.0697303,5.4960604,2.6607578,4.2879806,3.2877522,5.3690143,5.176128,4.6303763,4.27067,4.734252,5.0320725,5.564456,4.6681795,5.987736,5.943586,2.9665813,4.8819127,6.4347725,6.620612,4.9807825,5.175978,6.736244,4.4592996,3.6771479,4.7986827,4.906994,4.1510873,4.4017587,5.8371186,3.592204,6.611177,3.605613,3.9825764,3.5194056,6.063806,4.4595222,5.4940715,4.581602,4.610835,4.9291463,5.2789373,4.7019253,4.3060694,4.4895406
7.0262575,5.958975,7.440445,6.0931287,4.5374975,8.53128,6.17647,5.5961776,4.5828643,4.953422,4.037288,5.3742943,4.4669943,9.331039,5.9870214,5.7723446,5.053064,5.730403,5.5616703,5.80243,3.8636715,4.3660073,3.6420496,5.364452,6.923178,4.3671603,3.977286,4.344689,4.285364,5.0411224,4.765159,4.150443,6.0403266,5.180278,4.2713184,5.863111,5.2241845,3.6772475,5.295085,4.830246,5.0897884,6.0098095,6.1995997,3.7379413,6.640332,4.431806,6.1884675,5.0051804,5.7553873,5.185011,5.5975156,4.160763,5.8935633,3.1596906,5.778752,5.1394315,5.145512,5.51137,3.174599,4.1698704,3.3614676,5.5783367,5.4329925,4.7823315,4.416402,4.5880647,4.981291,5.541203,4.524857,5.8236017,5.883714,3.188193,5.193523,6.4784794,6.338142,5.0495477,5.491667,6.8541517,4.596913,3.8017838,5.2899904,5.118501,4.2031174,4.458715,5.56871,3.580293,6.535926,3.548294,4.0124865,3.1352978,5.835472,4.66418,5.6730194,4.144805,4.571376,4.8694005,5.204922,4.7077413,4.2039447,4.3358846
7.9479465,5.8257494,8.008975,6.0551085,4.666,8.829036,6.514359,5.3164062,4.7063394,3.935034,4.0967865,4.930257,4.661432,8.898699,5.893773,5.407501,4.8699694,5.9113417,5.915245,5.7011933,3.9919374,4.1336436,3.4790974,5.5856686,6.6929483,4.63361,3.9932122,4.316881,4.408993,4.5563946,4.6868243,4.129041,6.1746516,5.359536,4.1119986,5.910555,5.143718,3.039598,5.238985,4.9694834,5.409726,6.4019747,5.9636645,3.7138135,6.692257,4.5739064,6.282883,4.9751606,5.906232,4.6071,6.222372,3.6998394,5.8071327,2.8321204,6.078505,5.1041718,5.1479588,5.575539,2.550909,4.221665,3.3435645,5.295825,5.0672975,4.475276,4.618874,4.8510137,4.954506,5.5520053,4.2536416,5.836335,6.115857,3.0701826,4.8630214,6.3989844,6.591335,5.001891,4.9812827,6.674986,5.0144453,3.89626,4.7343173,4.7415934,4.1100483,4.2748675,5.863921,3.6311839,6.9303436,3.9129555,3.9014976,3.428549,5.893855,4.4866385,5.564561,4.8920984,4.7405057,4.8936877,5.203072,4.696293,4.2428317,4.44519
8.02779,5.6626625,7.8613725,6.078789,4.5039496,8.901045,6.507841,5.1618695,4.637663,3.9746256,4.065503,4.9282265,4.8228793,8.91865,6.019577,5.4958744,4.778705,5.9997463,5.8960094,5.8303347,3.9492588,4.1203094,3.47382,5.577794,6.7531514,4.5242376,3.9243932,4.3408585,4.403712,4.614693,4.5925508,4.1368623,6.1452193,5.332222,4.1068206,5.9119625,5.1589003,3.0636969,5.206262,4.949516,5.381451,6.362863,6.003342,3.6843286,6.7333107,4.5743856,6.3840537,5.0555186,5.8989635,4.6089263,6.1972017,3.7266371,5.877139,2.7637916,6.03602,5.0549545,5.1293993,5.6342945,2.5939684,4.1561675,3.320127,5.3257446,5.1038823,4.5541234,4.6247115,4.850045,4.893337,5.56601,4.1826906,5.722437,6.177756,3.1583776,4.9144793,6.3691115,6.5703883,5.021584,4.9460287,6.794313,5.250846,3.9020138,4.845189,4.767393,4.046918,4.262957,5.8748484,3.5357933,7.003993,3.9852498,3.9165173,3.3181455,5.8632727,4.532585,5.6149206,4.82686,4.797676,4.901769,5.222795,4.626367,4.1399612,4.3444033
6.932783,6.0366206,7.534943,6.0271854,4.722935,8.391789,6.1639705,5.50117,4.458354,5.035124,4.07736,5.4855604,4.4088244,9.418787,5.8964887,5.9104896,5.1055818,5.701187,5.486068,5.844342,3.9524908,4.4893317,3.6076515,5.183731,6.8402677,4.3125873,4.1137576,4.391749,4.206017,5.0285654,4.821723,4.0431504,6.038686,5.189221,4.277656,5.7904253,5.1771545,3.694157,5.310356,4.794687,5.0111694,6.0038967,6.2136626,3.8362696,6.6214333,4.416086,6.1231246,5.006078,5.661727,5.2987947,5.5278425,4.160523,5.8101463,3.2884715,5.701488,5.1515317,5.1592894,5.5056424,3.4769304,4.222603,3.3911927,5.623917,5.5014544,4.8152256,4.447365,4.5384564,5.0054007,5.4810133,4.5844903,5.800936,5.7773795,3.3102791,5.296599,6.413683,6.241187,5.064162,5.499871,6.7645535,4.575244,3.9107442,5.4001746,5.1744328,4.203081,4.5228953,5.448088,3.6795406,6.4470468,3.5820692,4.024894,3.15319,5.7749367,4.7052593,5.668635,4.002488,4.4533753,4.735994,5.16575,4.702083,4.3059196,4.4241195
7.4072247,5.3484216,7.8153353,6.2786818,4.6065454,8.557086,5.971819,4.9299574,4.5459995,4.7220936,4.070223,5.166686,4.7609243,9.200774,6.1968718,5.9089518,4.813689,5.780915,5.546438,5.9279656,3.9986863,4.3237815,3.4858017,5.0956054,6.8426003,4.254415,4.0067253,4.3709874,4.387408,4.987916,4.695456,4.0863395,6.215568,5.3079066,4.1771913,5.827962,5.098885,3.3884602,5.28189,4.8959336,5.209941,6.087333,6.1018515,3.8602347,6.709642,4.4072766,6.3179913,5.14489,5.7843947,5.019084,5.8798256,4.064161,5.9087644,2.992377,5.7592196,5.0758333,5.1863384,5.6387286,3.26799,4.1572413,3.4335306,5.496386,5.3149033,4.70435,4.766809,4.716755,4.8708844,5.4801807,4.133452,5.589354,6.0366144,3.4294708,5.23787,6.3889976,6.284796,5.0495515,5.2127447,6.8073,5.2457633,4.081435,5.314768,4.948643,4.1010885,4.3363695,5.5525837,3.648661,6.833444,3.9365842,3.976782,3.0759523,5.677925,4.720703,5.7257094,4.3200073,4.64928,4.748635,5.1155305,4.7087984,4.214528,4.3506103
7.4936743,5.332081,7.968438,6.235689,4.6920843,8.543523,5.954283,4.839931,4.527713,4.6280866,4.1011944,5.1460357,4.7797904,9.166149,6.224395,5.9247527,4.784808,5.7842913,5.526784,5.9383073,4.067503,4.375405,3.4786677,5.0132065,6.801476,4.220215,4.0903125,4.381292,4.401475,4.9587893,4.7324133,4.0388412,6.2558374,5.345559,4.174518,5.824032,5.0607057,3.3240314,5.297208,4.9141345,5.214704,6.124893,6.079365,3.9018319,6.7185535,4.3985515,6.3302617,5.1408343,5.764862,4.967988,5.9402537,4.0329914,5.8901725,3.008842,5.743278,5.0562363,5.211681,5.651955,3.3022559,4.179096,3.4823198,5.480676,5.299884,4.6788144,4.8240395,4.7244596,4.8595495,5.4628077,4.084209,5.560046,6.026047,3.4565074,5.271491,6.3352995,6.218028,5.0469017,5.1566772,6.747677,5.3279743,4.1692495,5.3118696,4.9199076,4.100186,4.3421206,5.529472,3.6828833,6.8616037,4.0230227,3.9560401,3.0814116,5.645085,4.735276,5.7239647,4.3657637,4.642913,4.6821513,5.1001496,4.7342415,4.2500205,4.372211
7.179909,5.8573747,7.5510917,6.1663346,4.6006293,8.64145,6.2886877,5.3455887,4.7110147,4.9617057,4.0755124,5.2497673,4.68994,9.174591,6.18574,5.7195225,4.9346023,5.816033,5.659638,5.8178673,3.8742025,4.3088026,3.6707385,5.3397174,6.9281178,4.2999873,3.9799814,4.33609,4.396737,5.051428,4.7627454,4.1852317,6.111704,5.232944,4.27153,5.90585,5.205603,3.577654,5.256121,4.909586,5.1154895,6.069717,6.1869173,3.6746042,6.670803,4.4555826,6.244891,4.959895,5.7929664,5.064598,5.702569,4.1810017,5.988324,3.0320122,5.8310723,5.021218,5.151205,5.5868464,2.976978,4.1404815,3.4287455,5.531756,5.363815,4.772068,4.501394,4.6159964,4.932319,5.569606,4.400768,5.648308,5.938788,3.2355163,5.198418,6.426567,6.3219953,5.0038795,5.387158,6.8186026,4.9335933,3.892098,5.2011065,5.0231586,4.206771,4.437106,5.6205835,3.5358698,6.6381335,3.7709455,3.9908323,3.1039188,5.8447914,4.6705837,5.6575966,4.320332,4.676932,4.8726206,5.215652,4.806897,4.199496,4.253232
7.0360527,6.6194,7.498581,5.8696666,4.736993,8.633405,6.6427445,5.8825207,4.7196097,4.7970934,4.0865383,5.388787,4.466736,9.0991745,5.721561,5.5207014,5.1872325,5.8431797,5.8139544,5.656747,3.865032,4.2908425,3.6333761,5.644682,6.7556643,4.5271564,4.0955806,4.352296,4.2251773,4.8616905,4.7539024,4.1166677,5.972347,5.218089,4.2337074,5.827668,5.232462,3.5614326,5.152411,4.849521,5.1092944,6.1498995,6.1821136,3.6746101,6.560535,4.5933385,6.0502605,4.797364,5.7527676,5.1431923,5.6005964,4.0797973,5.790983,3.182137,6.014961,5.1644573,5.0694804,5.5138273,2.9097168,4.290897,3.3851712,5.468664,5.302815,4.802888,4.244632,4.6202836,5.0042605,5.5466876,4.7603884,5.851767,5.842158,3.1349056,5.0755134,6.435711,6.4379272,4.935823,5.361814,6.7321415,4.4283314,3.7413666,5.0262628,5.0225763,4.2138586,4.4874806,5.671036,3.6226254,6.421028,3.589071,4.0619626,3.4134927,6.057782,4.5704684,5.5044074,4.298293,4.560848,4.8774467,5.2769117,4.842619,4.3787246,4.4485893
7.07327,6.327844,7.509111,5.9288993,4.6840105,8.521539,6.454768,5.840535,4.5138545,4.6791377,4.067975,5.381872,4.2778935,9.292928,5.6656513,5.6606817,5.1951556,5.724741,5.626836,5.7051563,3.9191523,4.3864665,3.5949454,5.536548,6.768148,4.556819,4.050634,4.367389,4.1745286,4.8205094,4.7809815,4.0731173,5.979948,5.1765313,4.246212,5.8038135,5.235894,3.571519,5.279612,4.794766,5.117754,6.1288457,6.152771,3.7836971,6.5957966,4.4918127,6.0681853,4.9447417,5.7421746,5.145816,5.63934,3.9768155,5.7142715,3.2589922,5.8636475,5.2293353,5.1309676,5.4228625,3.176389,4.220818,3.2962568,5.5316014,5.403121,4.719215,4.324304,4.6299233,5.077581,5.512477,4.700759,6.005225,5.8216767,3.1348982,5.0706935,6.473424,6.4425836,5.0620995,5.4093003,6.7406483,4.3060613,3.7289066,5.1388392,5.1157236,4.193249,4.471647,5.614716,3.6768913,6.454659,3.4557347,4.0015492,3.3591783,5.905946,4.5569344,5.551259,4.177753,4.474072,4.862089,5.219345,4.6497006,4.3093114,4.5269375
