genome_ID	OTU	NCBI_ID	novelty_category
MAG0246.0	246	2	known_strain
MAG0247.0	247	2	known_strain
MAG0248.0	248	2	known_strain
MAG0249.0	249	2	known_strain
MAG0250.0	250	2	known_strain
MAG0251.0	251	2	known_strain
MAG0252.0	252	2	known_strain
MAG0253.0	253	2	known_strain
MAG0254.0	254	2	known_strain
MAG0255.0	255	2	known_strain
MAG0256.0	256	2	known_strain
MAG0257.0	257	2	known_strain
MAG0258.0	258	2	known_strain
MAG0259.0	259	2	known_strain
MAG0260.0	260	2	known_strain
MAG0261.0	261	2	known_strain
MAG0262.0	262	2	known_strain
MAG0263.0	263	2	known_strain
MAG0264.0	264	2	known_strain
MAG0265.0	265	2	known_strain
MAG0266.0	266	2	known_strain
MAG0267.0	267	2	known_strain
MAG0268.0	268	2	known_strain
MAG0269.0	269	2	known_strain
MAG0270.0	270	2	known_strain
MAG0271.0	271	2	known_strain
MAG0272.0	272	2	known_strain
MAG0273.0	273	2	known_strain
MAG0274.0	274	2	known_strain
MAG0275.0	275	2	known_strain
MAG0276.0	276	2	known_strain
MAG0277.0	277	2	known_strain
MAG0278.0	278	2	known_strain
MAG0279.0	279	2	known_strain
MAG0280.0	280	2	known_strain
MAG0281.0	281	2	known_strain
MAG0282.0	282	2	known_strain
MAG0283.0	283	2	known_strain
MAG0284.0	284	2	known_strain
MAG0285.0	285	2	known_strain
MAG0286.0	286	2	known_strain
MAG0287.0	287	2	known_strain
MAG0288.0	288	2	known_strain
MAG0289.0	289	2	known_strain
MAG0290.0	290	2	known_strain
MAG0291.0	291	2	known_strain
MAG0292.0	292	2	known_strain
MAG0293.0	293	2	known_strain
MAG0294.0	294	2	known_strain
MAG0295.0	295	2	known_strain
MAG0296.0	296	2	known_strain
MAG0297.0	297	2	known_strain
MAG0298.0	298	2	known_strain
MAG0299.0	299	2	known_strain
MAG0300.0	300	2	known_strain
MAG0301.0	301	2	known_strain
MAG0302.0	302	2	known_strain
MAG0303.0	303	2	known_strain
MAG0304.0	304	2	known_strain
MAG0305.0	305	2	known_strain
MAG0306.0	306	2	known_strain
MAG0307.0	307	2	known_strain
MAG0308.0	308	2	known_strain
