#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9
k__Bacteria|p__Firmicutes|c__CFGB2985	0.180420279330142	0.0	0.0	0.2770011864836051	0.0	0.0	0.0	0.13358	0.0	0.07097
k__Bacteria|p__Firmicutes|c__CFGB31455	0.1690582092762114	0.14622	0.0	0.0	0.13525	0.63279	0.06548	0.0	1.47483	0.23495
k__Bacteria|p__Bacteroidetes|c__CFGB49965	0.1621759379080912	0.0	0.10042	0.0	0.0	0.0	0.04694	0.0	0.0	0.01904
k__Bacteria|p__Bacteroidetes|c__CFGB2397	0.1591683311291095	0.00416	0.03105	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9583	0.1583012733189527	0.0	0.0	0.0	0.00589	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76705	0.1440670742688774	0.0	0.0	0.0057736949694744	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76352	0.1391627785301776	0.17802	0.05533	0.7890444114179368	0.14748	0.3819	0.20298	0.54385	0.0228	0.21989
k__Bacteria|p__Firmicutes|c__CFGB76238	0.1346197568790432	0.0	0.0	0.0	0.0	0.0006	0.0	0.0	0.01136	0.0389
k__Bacteria|p__Firmicutes|c__CFGB1767	0.1313682900909549	0.01098	0.19717	0.0	0.29476	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1347	0.125244694306722	0.0	0.0	0.0	0.0	0.68543	0.0	0.0	0.02125	0.0
k__Bacteria|p__Tenericutes|c__CFGB1787	0.1166373391704772	0.0	13.75624	0.0	0.01817	0.0479	0.0	0.00061	0.06673	0.0
k__Bacteria|p__Tenericutes|c__CFGB10317	0.1080480477386107	0.0	0.01553	0.1919935140085132	0.0	0.92372	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2978	0.0981762332958872	0.0	0.0	0.0	0.02562	0.0	0.0	0.00811	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3070	0.0942202820370465	0.07079	0.33461	3.2492557817126606	0.07429	0.01878	0.12661	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1763	0.0925313256776784	0.13461	0.0	0.0	0.04591	0.69832	0.0	0.05501	0.0	2.31966
k__Bacteria|p__Firmicutes|c__CFGB76783	0.0823072689995787	0.0	0.0	0.0065544147294976	0.0	0.0	0.20707	0.0	1.88674	0.0
k__Bacteria|p__Firmicutes|c__CFGB6280	0.0809886185799651	0.0	0.0	0.1921206079229356	0.01995	0.0	0.03893	0.0	0.0	1.42146
k__Bacteria|p__Proteobacteria|c__CFGB2403	0.0803654207789149	0.02484	0.0	0.0034496919628935	0.01637	0.04904	0.0	0.03068	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__CFGB76022	0.0755785391186738	0.0	0.0	0.0	0.0	0.0	0.01274	0.0	0.0	0.0
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.0626629904882121	0.0	0.0	0.0	0.294	0.0	0.0	5.13884	0.0	0.22728
k__Bacteria|p__Firmicutes|c__CFGB2833	0.057334197696623	5.87529	0.06587	0.1101722675307256	0.41186	0.42638	0.00303	0.48312	0.0	0.1073
k__Bacteria|p__Firmicutes|c__CFGB29420	0.0553020309540678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata	0.0539924123866434	0.09104	0.06099	0.0530526311346045	0.02179	0.39419	0.0	0.0	0.17809	0.0
k__Bacteria|p__Firmicutes|c__CFGB2941	0.0514905893302532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2942	0.0500635566843701	0.0	0.0	0.0	0.10376	0.0354	0.0	0.0	0.0	0.01507
k__Bacteria|p__Bacteroidetes|c__CFGB4448	0.0471101410185232	0.39756	0.02552	0.0	0.0	0.0	0.0	0.0	0.07586	0.0
k__Bacteria|p__Firmicutes|c__CFGB2880	0.04568310837264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00524	0.0
k__Bacteria|p__Firmicutes|c__CFGB1507	0.041772316374745	0.0	0.0	0.8195923415630333	0.0	0.00836	0.0	0.0	0.07682	0.0
k__Bacteria|p__Proteobacteria|c__CFGB76759	0.0380150658640652	0.4802	0.0	0.0155145356962763	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__CFGB645	0.0361364406087253	0.0	0.0	0.0	0.0	0.0	0.00208	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.0351971279810554	0.07354	0.0	0.0	0.34329	0.04475	0.17077	0.01846	0.01972	4.2933
k__Bacteria|p__Firmicutes|c__CFGB2832	0.031060539678432	0.0	0.0	0.0649631465433316	0.0	0.02063	0.11835	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1328	0.0258310972609234	0.00634	0.0	0.0	0.00764	0.13861	0.01537	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__CFGB8430	0.0205203681737125	0.0	0.03581	0.0	0.02312	0.03467	0.00349	0.02398	0.01798	0.11266
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.0203668266864973	0.26689	0.69251	0.1503521007616906	0.16753	1.73868	0.27416	0.63531	0.05203	0.87247
k__Bacteria|p__Actinobacteria|c__CFGB4875	0.0195088007285295	0.0	0.0	0.0051382253973624	0.07949	0.15319	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB75721	0.019138494788775	0.0	0.00672	0.0	0.0	0.0	0.0	0.0	0.0	0.05578
k__Bacteria|p__Firmicutes|c__CFGB3011	0.0179372584476202	0.0	0.0	0.0	0.0	0.0	1.34416	5.00146	0.03276	0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.0113078789407958	0.07067	0.41208	0.0	0.09349	0.18423	2.22909	0.10089	0.0	0.02764
k__Bacteria|p__Firmicutes|c__CFGB2861	0.0110820826360674	0.0	0.0	0.0	0.0	0.01968	0.0	0.0223	0.0	0.0
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB117	0.009366030720132	0.03656	0.0	0.0	0.02205	0.11711	0.1687	0.0	0.0	0.04637
k__Bacteria|p__Firmicutes|c__CFGB13380	0.0080022210395727	0.05581	0.08843	0.6426413001400847	0.00379	0.04435	0.07939	0.03557	0.0	0.14344
k__Bacteria|p__Actinobacteria|c__CFGB12107	0.0064848698717982	0.09931	0.14222	0.7185163670502532	0.02117	0.79262	0.0953	0.21174	0.00082	0.05307
k__Bacteria|p__Firmicutes|c__CFGB76357	0.0059700542970176	0.0	0.0	0.0	0.0	0.0	0.04865	0.0	0.02619	0.00969
k__Bacteria|p__Firmicutes|c__CFGB72904	0.005662971322587	0.0	0.0	0.0230766236044087	0.0	0.0	0.0	0.0	0.0	0.0
